"GEO_ID","NAME","B05010_001E","B05010_001M","B05010_002E","B05010_002M","B05010_003E","B05010_003M","B05010_004E","B05010_004M","B05010_005E","B05010_005M","B05010_006E","B05010_006M","B05010_007E","B05010_007M","B05010_008E","B05010_008M","B05010_009E","B05010_009M","B05010_010E","B05010_010M","B05010_011E","B05010_011M","B05010_012E","B05010_012M","B05010_013E","B05010_013M","B05010_014E","B05010_014M","B05010_015E","B05010_015M","B05010_016E","B05010_016M","B05010_017E","B05010_017M","B05010_018E","B05010_018M","B05010_019E","B05010_019M","B05010_020E","B05010_020M","B05010_021E","B05010_021M","B05010_022E","B05010_022M","B05010_023E","B05010_023M","B05010_024E","B05010_024M","B05010_025E","B05010_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under 1.00","Margin of Error!!Total!!Under 1.00","Estimate!!Total!!Under 1.00!!Living with two parents","Margin of Error!!Total!!Under 1.00!!Living with two parents","Estimate!!Total!!Under 1.00!!Living with two parents!!Both parents native","Margin of Error!!Total!!Under 1.00!!Living with two parents!!Both parents native","Estimate!!Total!!Under 1.00!!Living with two parents!!Both parents foreign born","Margin of Error!!Total!!Under 1.00!!Living with two parents!!Both parents foreign born","Estimate!!Total!!Under 1.00!!Living with two parents!!One native and one foreign-born parent","Margin of Error!!Total!!Under 1.00!!Living with two parents!!One native and one foreign-born parent","Estimate!!Total!!Under 1.00!!Living with one parent","Margin of Error!!Total!!Under 1.00!!Living with one parent","Estimate!!Total!!Under 1.00!!Living with one parent!!Native parent","Margin of Error!!Total!!Under 1.00!!Living with one parent!!Native parent","Estimate!!Total!!Under 1.00!!Living with one parent!!Foreign-born parent","Margin of Error!!Total!!Under 1.00!!Living with one parent!!Foreign-born parent","Estimate!!Total!!1.00 to 1.99","Margin of Error!!Total!!1.00 to 1.99","Estimate!!Total!!1.00 to 1.99!!Living with two parents","Margin of Error!!Total!!1.00 to 1.99!!Living with two parents","Estimate!!Total!!1.00 to 1.99!!Living with two parents!!Both parents native","Margin of Error!!Total!!1.00 to 1.99!!Living with two parents!!Both parents native","Estimate!!Total!!1.00 to 1.99!!Living with two parents!!Both parents foreign born","Margin of Error!!Total!!1.00 to 1.99!!Living with two parents!!Both parents foreign born","Estimate!!Total!!1.00 to 1.99!!Living with two parents!!One native and one foreign-born parent","Margin of Error!!Total!!1.00 to 1.99!!Living with two parents!!One native and one foreign-born parent","Estimate!!Total!!1.00 to 1.99!!Living with one parent","Margin of Error!!Total!!1.00 to 1.99!!Living with one parent","Estimate!!Total!!1.00 to 1.99!!Living with one parent!!Native parent","Margin of Error!!Total!!1.00 to 1.99!!Living with one parent!!Native parent","Estimate!!Total!!1.00 to 1.99!!Living with one parent!!Foreign-born parent","Margin of Error!!Total!!1.00 to 1.99!!Living with one parent!!Foreign-born parent","Estimate!!Total!!2.00 and over","Margin of Error!!Total!!2.00 and over","Estimate!!Total!!2.00 and over!!Living with two parents","Margin of Error!!Total!!2.00 and over!!Living with two parents","Estimate!!Total!!2.00 and over!!Living with two parents!!Both parents native","Margin of Error!!Total!!2.00 and over!!Living with two parents!!Both parents native","Estimate!!Total!!2.00 and over!!Living with two parents!!Both parents foreign born","Margin of Error!!Total!!2.00 and over!!Living with two parents!!Both parents foreign born","Estimate!!Total!!2.00 and over!!Living with two parents!!One native and one foreign-born parent","Margin of Error!!Total!!2.00 and over!!Living with two parents!!One native and one foreign-born parent","Estimate!!Total!!2.00 and over!!Living with one parent","Margin of Error!!Total!!2.00 and over!!Living with one parent","Estimate!!Total!!2.00 and over!!Living with one parent!!Native parent","Margin of Error!!Total!!2.00 and over!!Living with one parent!!Native parent","Estimate!!Total!!2.00 and over!!Living with one parent!!Foreign-born parent","Margin of Error!!Total!!2.00 and over!!Living with one parent!!Foreign-born parent"
"0500000US28151","Washington County, Mississippi","11255","319","5392","598","433","181","413","181","20","30","0","27","4959","597","4959","597","0","27","2691","499","619","227","538","213","81","85","0","27","2072","477","2029","473","43","55","3172","447","2065","427","2004","413","49","45","12","28","1107","310","1107","310","0","27"
"0500000US28111","Perry County, Mississippi","2528","108","647","217","191","122","191","122","0","20","0","20","456","164","456","164","0","20","605","197","290","146","290","146","0","20","0","20","315","120","315","120","0","20","1276","263","1076","252","1068","254","0","20","8","14","200","104","200","104","0","20"
"0500000US28019","Choctaw County, Mississippi","1601","102","610","153","263","156","235","144","0","18","28","47","347","103","347","103","0","18","303","148","140","75","140","75","0","18","0","18","163","118","163","118","0","18","688","155","583","153","583","153","0","18","0","18","105","78","105","78","0","18"
"0500000US28057","Itawamba County, Mississippi","4511","229","829","268","242","158","242","158","0","24","0","24","587","220","587","220","0","24","1367","311","778","252","765","252","0","24","13","21","589","227","589","227","0","24","2315","330","1913","327","1868","324","33","44","12","21","402","203","402","203","0","24"
"0500000US28015","Carroll County, Mississippi","1867","71","356","192","94","112","94","112","0","20","0","20","262","168","262","168","0","20","462","271","334","251","334","251","0","20","0","20","128","119","128","119","0","20","1049","233","948","201","948","201","0","20","0","20","101","90","101","90","0","20"
"0500000US28043","Grenada County, Mississippi","4793","186","1918","387","575","238","575","238","0","24","0","24","1343","351","1343","351","0","24","1031","330","416","220","396","216","0","24","20","33","615","283","615","283","0","24","1844","357","1262","327","1247","324","0","24","15","26","582","189","582","189","0","24"
"0500000US28063","Jefferson County, Mississippi","1557","185","1007","312","0","18","0","18","0","18","0","18","1007","312","1007","312","0","18","279","179","170","158","170","158","0","18","0","18","109","88","109","88","0","18","271","210","13","17","13","17","0","18","0","18","258","208","258","208","0","18"
"0500000US28041","Greene County, Mississippi","2521","136","456","209","108","130","108","130","0","20","0","20","348","171","348","171","0","20","219","118","129","106","119","104","0","20","10","20","90","65","90","65","0","20","1846","235","1491","251","1491","251","0","20","0","20","355","256","355","256","0","20"
"0500000US28093","Marshall County, Mississippi","7106","302","2134","553","178","123","126","106","38","67","14","24","1956","552","1956","552","0","27","1966","490","1176","477","1020","423","156","157","0","27","790","306","790","306","0","27","3006","516","2231","516","2132","511","57","102","42","67","775","312","756","309","19","32"
